iter	Passed	Remaining
406	6668	9715
407	6684	9699
408	6697	9678
409	6711	9657
410	6724	9636
411	6738	9617
412	6751	9595
413	6766	9578
414	6787	9568
415	6800	9546
416	6814	9527
417	6828	9506
418	6841	9486
419	6854	9465
420	6868	9446
421	6884	9429
422	6896	9407
423	6910	9387
424	6923	9366
425	6935	9345
426	6948	9324
427	6962	9304
428	6977	9286
429	6995	9272
430	7012	9257
431	7027	9239
432	7041	9219
433	7054	9199
434	7066	9178
435	7079	9157
436	7093	9138
437	7106	9118
438	7120	9099
439	7133	9078
440	7146	9058
441	7158	9037
442	7172	9018
443	7187	9000
444	7202	8983
445	7222	8971
446	7236	8952
447	7249	8932
448	7262	8912
449	7278	8896
450	7290	8875
451	7305	8857
452	7320	8839
453	7332	8818
454	7345	8798
455	7359	8779
456	7371	8758
457	7385	8739
458	7401	8723
459	7420	8711
460	7435	8693
461	7448	8674
462	7462	8654
463	7475	8635
464	7487	8614
465	7503	8597
466	7516	8579
467	7529	8559
468	7543	8540
469	7557	8522
470	7569	8501
471	7584	8484
472	7597	8465
473	7612	8448
474	7630	8433
475	7646	8417
476	7660	8398
477	7675	8381
478	7689	8364
479	7702	8344
480	7716	8325
481	7730	8307
482	7744	8289
483	7757	8269
484	7770	8251
485	7783	8231
486	7797	8213
487	7811	8195
488	7827	8179
489	7841	8161
490	7859	8147
491	7873	8129
492	7887	8111
493	7901	8093
494	7913	8073
495	7928	8056
496	7942	8038
497	7956	8019
498	7969	8001
499	7983	7983
500	7996	7964
501	8010	7947
502	8025	7929
503	8040	7912
504	8060	7900
505	8075	7884
506	8090	7866
507	8103	7848
508	8117	7830
509	8130	7812
510	8143	7793
511	8157	7774
512	8170	7756
513	8183	7737
514	8196	7719
515	8209	7700
516	8223	7682
517	8237	7665
518	8251	7647
519	8265	7629
520	8284	7616
521	8298	7599
522	8312	7581
523	8324	7561
524	8338	7544
525	8351	7526
526	8364	7507
527	8377	7489
528	8390	7470
529	8403	7452
530	8417	7434
531	8430	7416
532	8445	7399
533	8463	7385
534	8481	7371
535	8495	7354
536	8509	7337
537	8522	7318
538	8535	7300
539	8549	7282
540	8563	7265
541	8577	7248
542	8591	7230
543	8603	7211
544	8616	7193
545	8629	7175
546	8644	7158
547	8658	7141
548	8673	7124
549	8687	7108
550	8707	7095
551	8721	7078
552	8734	7059
553	8747	7041
554	8761	7024
555	8774	7006
556	8787	6988
557	8800	6971
558	8812	6952
559	8826	6935
560	8840	6917
561	8855	6901
562	8868	6883
563	8880	6865
564	8896	6849
565	8912	6834
566	8927	6817
567	8941	6800
568	8956	6783
569	8970	6767
570	8985	6750
571	8998	6732
572	9010	6714
573	9023	6697
574	9037	6679
575	9050	6662
576	9063	6644
577	9076	6626
578	9090	6609
579	9104	6593
580	9120	6577
581	9136	6562
582	9150	6545
583	9164	6528
584	9178	6511
585	9190	6492
586	9203	6475
587	9217	6458
588	9232	6442
589	9245	6424
590	9259	6407
591	9271	6389
592	9285	6373
593	9298	6355
594	9311	6338
595	9327	6322
596	9343	6307
597	9360	6292
598	9375	6276
599	9388	6258
600	9401	6241
601	9415	6224
602	9429	6207
603	9442	6190
604	9455	6173
605	9469	6156
606	9485	6141
607	9498	6123
608	9511	6106
609	9524	6089
610	9539	6073
611	9555	6058
612	9571	6042
613	9585	6026
614	9598	6008
615	9612	5992
616	9627	5976
617	9639	5958
618	9654	5942
619	9666	5924
620	9680	5908
621	9694	5891
622	9707	5874
623	9719	5856
624	9732	5839
625	9745	5822
